t_date,phase,feature,age_group,n,ic,train_rows,train_label_end_max
2009-07-31,dev,sharpe_12m,full,46,0.08331791551032994,2149,2009-07-10
2009-07-31,dev,sharpe_12m,under12,0,,2149,2009-07-10
2009-08-31,dev,ret_12m,all,82,0.38411641144523895,2222,2009-07-31
2009-08-31,dev,ret_12m,short,35,0.280672268907563,2222,2009-07-31
2009-08-31,dev,ret_12m,full,47,0.46542553191489366,2222,2009-07-31
2009-08-31,dev,ret_12m,under12,0,,2222,2009-07-31
2009-08-31,dev,sharpe_12m,all,83,0.3181646446412829,2222,2009-07-31
2009-08-31,dev,sharpe_12m,short,36,0.2141570141570142,2222,2009-07-31
2009-08-31,dev,sharpe_12m,full,47,0.3970860314523589,2222,2009-07-31
2009-08-31,dev,sharpe_12m,under12,0,,2222,2009-07-31
2009-09-30,dev,ret_12m,all,83,0.282208975273918,2295,2009-08-28
2009-09-30,dev,ret_12m,short,32,0.3988269794721407,2295,2009-08-28
2009-09-30,dev,ret_12m,full,51,0.25420814479638004,2295,2009-08-28
2009-09-30,dev,ret_12m,under12,0,,2295,2009-08-28
2009-09-30,dev,sharpe_12m,all,85,0.2880789525112371,2295,2009-08-28
2009-09-30,dev,sharpe_12m,short,34,0.4707410236822001,2295,2009-08-28
2009-09-30,dev,sharpe_12m,full,51,0.21837104072398186,2295,2009-08-28
2009-09-30,dev,sharpe_12m,under12,0,,2295,2009-08-28
2009-10-30,dev,ret_12m,all,85,-0.05831541919093218,2368,2009-09-29
2009-10-30,dev,ret_12m,short,32,-0.02456011730205278,2368,2009-09-29
2009-10-30,dev,ret_12m,full,53,-0.06716658603451056,2368,2009-09-29
2009-10-30,dev,ret_12m,under12,0,,2368,2009-09-29
2009-10-30,dev,sharpe_12m,all,87,0.09408033826638476,2368,2009-09-29
2009-10-30,dev,sharpe_12m,short,34,0.226279602750191,2368,2009-09-29
2009-10-30,dev,sharpe_12m,full,53,0.02725366876310272,2368,2009-09-29
2009-10-30,dev,sharpe_12m,under12,0,,2368,2009-09-29
2009-11-30,dev,ret_12m,all,87,-0.18630166946125243,2443,2009-11-05
2009-11-30,dev,ret_12m,short,31,0.020967741935483872,2443,2009-11-05
2009-11-30,dev,ret_12m,full,56,-0.26896787423103213,2443,2009-11-05
2009-11-30,dev,ret_12m,under12,0,,2443,2009-11-05
2009-11-30,dev,sharpe_12m,all,88,0.01287379803458843,2443,2009-11-05
2009-11-30,dev,sharpe_12m,short,32,0.16165689149560114,2443,2009-11-05
2009-11-30,dev,sharpe_12m,full,56,-0.07969924812030076,2443,2009-11-05
2009-11-30,dev,sharpe_12m,under12,0,,2443,2009-11-05
2009-12-31,dev,ret_12m,all,88,-0.15471452220774193,2518,2009-12-01
